Quiz,Question,Answer,Explain
Quiz 1,,,
,"Khi tổ chức ảo (Virtual Organization - VO) chia sẻ tài nguyên thì tuân theo các luật nào:
a. Dùng các tiêu chuẩn mở - Uses open standards and interfaces
b. Ai được chia sẻ - who is allowed to share
c. Tài nguyên nào được chia sẻ - what is shared
d. Trong điều kiện nào được chia sẻ - the conditions under which sharing occurs","Tài nguyên nào được chia sẻ - what is shared, Ai được chia sẻ - who is allowed to share, Trong điều kiện nào được chia sẻ - the conditions under which sharing occurs",
,"Trong các mẫu sau, mẫu nào không phải là 1 dạng của Distributed Computing
a. Personal computing
b. Grid computing
c. Cluster computing
d. Cloud computing",Personal computing,
,"Trong cloud computing, thuật ngữ nào dùng để mô tả khả năng vô hạn (Endless possibility)
a. Accessibility
b. One single integrated environment
c. Availability
d. Scalability","Scalability, Accessibility, Availability",
,"Trong cloud computing, dưới góc nhìn của 1 tổ chức (doanh nghiệp, chính phủ) thì cần những gì:
a. invisible
b. Zero management
c. providing unbounded scale
d. quality of service","providing unbounded scale, quality of service",
,"Trong lập trình song song có những mô hình nào
a. Shared-memory model
b. Massage Passing Interface (MPI)
c. Distributed-memory model
d. MIMD","Shared-memory model, Distributed-memory model, Massage Passing Interface (MPI)","a. Shared-memory model → Các tiến trình/luồng chia sẻ chung bộ nhớ, giao tiếp qua biến chung.
b. Message Passing Interface (MPI) → Mô hình giao tiếp bằng gửi – nhận thông điệp giữa các tiến trình (không dùng chung bộ nhớ).
c. Distributed-memory model → Mỗi tiến trình có bộ nhớ riêng, trao đổi dữ liệu qua message passing.
d. MIMD → Kiến trúc song song: nhiều lệnh, nhiều dữ liệu chạy đồng thời."
,"Trong cluster computing các node giao tiếp với nhau dựa trên:
a. MPI-synchronization
b. MPI-blocking
c. MPI-asynchronization
d. MPI-nonblocking",MPI-synchronization,
,"Các Node trong grid computing:
a. Trộn lẫn giữa môi trường đồng nhất và không đồng nhất (Mixed)
b. Cùng sử dụng chung bộ nhớ (Shared memory)
c. Môi trường không đồng nhất (heterogeneous)
d. Môi trường đồng nhất (Homogeneity )",Môi trường không đồng nhất (heterogeneous),
,"Những giá trị cốt lõi của cloud computing
a. Cung cấp nhanh chóng - Rapid provisioning
b. Loại bỏ sự phức tạp của IT - Removing IT complexity
c. Chi phí thấp - Lower costs
d. Dùng bao nhiêu trả bấy nhiêu - Pay for what is used","Chi phí thấp - Lower costs, Dùng bao nhiêu trả bấy nhiêu - Pay for what is used, Cung cấp nhanh chóng - Rapid provisioning, Loại bỏ sự phức tạp của IT - Removing IT complexity",
,"Trong mô hình lập trình song song theo cách chia của Flynn thì mô hình nào dùng 1 lệnh để xử lý nhiều dữ liệu
a. SIMD
b. MISD
c. MIMD
d. SISD",SIMD,"Theo phân loại Flynn, mô hình dùng 1 lệnh để xử lý nhiều dữ liệu là:
a. SIMD (Single Instruction, Multiple Data)
→ Một lệnh, xử lý nhiều dữ liệu song song."
,,,
Quiz 2,,,
,"Which Azure Cosmos DB API would you use if you need to work with a graph database?
a. Cassandra API
b. SQL API
c. Table API
d. Gremlin API/p>",Gremlin API/p>,"a. Cassandra API (sai) → Dùng cho wide-column / NoSQL, không phải graph.
b. SQL API (sai) → Dùng cho document database (JSON).
c. Table API (sai) → Dùng cho key–value / table storage.
d. Gremlin API (đúng) → Dùng cho graph database, hỗ trợ truy vấn đồ thị bằng Gremlin."
,"Which of the following PowerShell commands is used to create a new Azure Storage account?
a. Add-AzStorageAccount
b. New-AzStorageAccount/p>
c. Create-AzStorageAccount
d. New-AzureStorageAccount",New-AzStorageAccount/p>,"- Add-AzStorageAccount: Sai động từ (thường dùng để thêm cấu hình, không phải tạo mới).
- New-AzStorageAccount: Đúng, lệnh chuẩn của module Az hiện đại.
- Create-AzStorageAccount: Sai động từ (PowerShell không dùng ""Create"" để tạo tài nguyên).
- New-AzureStorageAccount: Sai module (đây là lệnh cũ của bản Classic đã lỗi thời)."
,"How does Azure Storage pricing typically work?
a. Based on subscription type/p>
b. By the total size of the files stored
c. By the number of requests made to the storage
d. By the amount of data stored and data transactions",By the amount of data stored and data transactions,"- Loại gói đăng ký (Subscription type): Sai, subscription chỉ quyết định cách bạn thanh toán, không quyết định đơn giá lưu trữ.
- Tổng dung lượng file (Total size): Đúng nhưng chưa đủ, vì Azure còn tính phí dựa trên các hoạt động truy cập dữ liệu.
- Số lượng yêu cầu (Number of requests): Đúng nhưng chưa đủ, nếu bạn chỉ gửi yêu cầu mà không lưu trữ dữ liệu thì phí vẫn khác.
- Lượng dữ liệu lưu trữ và các giao dịch dữ liệu: Đúng nhất, hóa đơn hàng tháng sẽ bao gồm: dung lượng dữ liệu (GB/tháng) + số lượng giao dịch (đọc/ghi) + phí chuyển dữ liệu (egress)."
,"What is the default consistency level in Azure Cosmos DB?
a. Eventual
b. Session/p>
c. Bounded Staleness
d. Strong",Session/p>,"- Eventual: Mức thấp nhất, dữ liệu có độ trễ lớn nhất nhưng chi phí rẻ nhất.
- Session: Đúng, đây là mức mặc định, đảm bảo người dùng đọc lại được đúng dữ liệu họ vừa ghi.
- Bounded Staleness: Dữ liệu cũ hơn một khoảng thời gian hoặc số phiên bản nhất định sẽ bị loại bỏ.
- Strong: Mức cao nhất, đảm bảo mọi người dùng đều thấy dữ liệu mới nhất đồng thời nhưng chi phí cao."
,"Which of the following is a key feature of Azure Cosmos DB?
a. Only supports SQL queries
b. Guaranteed low latency at the 99th percentile/p>
c. No support for multi-region replication
d. Manual scaling",Guaranteed low latency at the 99th percentile/p>,"- Chỉ hỗ trợ SQL: Sai, hỗ trợ nhiều API khác như MongoDB, Cassandra, Gremlin, Table.
- Cam kết độ trễ thấp ở bách phân vị thứ 99: Đúng, Cosmos DB cam kết độ trễ dưới 10ms (cho cả đọc và ghi) qua SLA.
- Không hỗ trợ sao chép đa vùng: Sai, phân phối toàn cầu (Global Distribution) là tính năng cốt lõi.
- Tự động điều chỉnh quy mô (Scaling): Sai, Cosmos DB hỗ trợ tự động điều chỉnh (Autoscale) thay vì chỉ làm thủ công."
,"Which command in PowerShell is used to set the access level of a container to Blob in Azure Blob Storage?
a. Set-AzStorageContainerACL
b. Set-AzBlobContainerAccessLevel
c. Set-AzStorageBlobACL/p>
d. Set-AzContainerPermission","Set-AzStorageContainerACL, Set-AzStorageBlobACL/p>",
,"Trong các đặc điểm sau, đặc điểm nào nói đến chất lượng dịch vụ:
a. Quản lý băng thông
b. Đánh giá khách hàng
c. Đánh giá công nghệ
d. Kiểm soát luồng dựa trên mức độ ưu tiên","Quản lý băng thông, Kiểm soát luồng dựa trên mức độ ưu tiên",
,"Shared access signature
You are the security engineer for a company. One of the developers has mistakenly checked in the storage access key as part of a test file into a Git repository. You are planning to immediately regenerate new access keys. Which of the following existing authorization keys will have to be regenerated?
a. AAD security groups
b. Account shared access signature keys
c. Service shared access signature keys
d. User delegation shared access signature keys","Account shared access signature keys, Service shared access signature keys","- AAD security groups: Không cần cấp lại vì nhóm bảo mật sử dụng danh tính (Identity), không phụ thuộc vào Access Key.
- Account SAS keys: Phải cấp lại, vì loại SAS này được ký trực tiếp bằng Access Key; khi Key đổi, SAS này vô hiệu.
- Service SAS keys: Phải cấp lại (tương tự Account SAS) nhưng đáp án B bao quát hơn vì Access Key bị lộ ảnh hưởng toàn tài khoản.
- User delegation SAS keys: Không cần cấp lại vì loại này được ký bằng quyền của User (AD), không dùng Access Key."
,"Which of the following is NOT a type of Azure Storage account?
a. Archive Storage
b. Blob Storage
c. General-purpose v1
d. File Storage/p>",Archive Storage,"- Archive Storage: Đây là một mức truy cập (access tier) nằm trong Blob Storage, không phải là một loại tài khoản riêng biệt.
- Blob Storage: Là loại tài khoản chuyên dùng để lưu trữ dữ liệu không cấu trúc như văn bản, hình ảnh, video.
- General-purpose v1: Là loại tài khoản đời đầu, hỗ trợ đa dạng dịch vụ như Blobs, Files, Queues và Tables.
- File Storage: Là loại tài khoản chuyên dụng được tối ưu hóa để lưu trữ và chia sẻ file thông qua giao thức SMB."
,"Bảo vệ tính riêng tư trong hệ thống cloud computing
a. Bảo vệ dữ liệu một khách hàng phải được tách biệt phù hợp với dữ liệu của khách hàng khác.
b. Các nhà cung cấp dịch vụ đám mây phải đảm bảo rằng các ứng dụng có sẵn dưới dạng dịch vụ thông qua đám mây là an toàn.
c. Mỗi công ty sẽ có hệ thống quản lý định danh riêng để kiểm soát việc truy cập thông tin và tài nguyên máy tính.
d. Các nhà cung cấp đảm bảo rằng tất cả dữ liệu quan trọng đều được che giấu và chỉ những người dùng có quyền truy cập mới truy xuất vào toàn bộ dữ liệu.",Các nhà cung cấp đảm bảo rằng tất cả dữ liệu quan trọng đều được che giấu và chỉ những người dùng có quyền truy cập mới truy xuất vào toàn bộ dữ liệu.,
